1996 rm 1997 rm 1998 rm 1999 rm 2000 rm 2001 rm 2002 rm 2003 rm 2004 rm 2005 rm 2006 rm 2007 rm 2008 rm 2009 rm 2010 rm 2011 rm 2012 rm 2013 rm 2014 rm 2015 rm
425 8 414 8 410 8 413 8 421 8 412 8 405 8 417 8 410 8 417 8 - - - - - - - - - - - - - - - - - - - -
419 8 405 8 408 8 405 8 413 8 408 8 330 8 413 8 402 8 409 8 412 8 401 8 - - - - - - - - - - - - - - - -
404 8 328 8 329 8 326 8 404 8 326 8 320 8 331 8 326 8 406 8 328 8 328 8 326 8 330 8 401 8 403 8 408 8 322 8 329 8 328 8
401 9 326 9 328 9 327 9 331 9 325 9 317 9 328 9 323 9 404 9 327 9 323 9 325 9 325 9 331 9 401 9 404 9 319 9 328 9 327 9
407 9 329 9 331 9 329 9 403 9 330 9 320 9 401 9 327 9 406 9 330 9 324 9 327 9 327 9 402 9 406 9 406 9 321 9 329 9 330 9
406 9 329 9 329 9 326 9 407 9 401 9 324 9 330 9 328 9 406 9 - - - - - - - - - - - - - - - - - - - -
330 9 322 9 322 9 323 9 403 9 325 9 317 9 324 9 324 9 402 9 326 9 323 9 323 9 318 9 320 9 328 9 330 9 321 9 324 9 323 9
329 8 323 8 322 8 324 8 403 8 326 8 319 8 324 8 323 8 331 8 326 8 323 8 322 8 319 8 318 8 327 8 330 8 319 8 324 8 321 8
408 8 330 8 330 8 329 8 410 8 406 8 327 8 406 9 402 9 409 8 407 8 - - - - - - - - - - - - - - - - - -
331 8 322 8 326 8 318 8 331 8 325 8 317 8 327 8 324 8 331 8 324 8 321 8 324 8 320 8 320 8 329 8 401 8 319 8 328 8 325 8
331 9 330 9 403 9 325 9 404 9 326 9 319 9 328 9 330 9 407 9 325 9 330 9 325 9 401 9 401 9 404 9 402 9 321 9 329 9 330 9
405 9 328 9 327 9 327 9 405 9 328 9 321 9 328 9 328 9 403 9 331 9 326 9 327 9 323 9 324 9 401 9 404 9 325 9 327 9 329 9
328 8 326 8 324 8 324 8 403 8 326 8 319 8 324 8 327 8 402 8 - - - - - - - - - - - - - - - - - - - -
326 8 322 8 321 8 321 8 330 8 323 8 315 8 321 8 318 8 329 8 317 8 324 8 322 8 319 8 317 8 320 8 324 8 317 8 324 8 322 8
