1996 rm 1997 rm 1998 rm 1999 rm 2000 rm 2001 rm 2002 rm 2003 rm 2004 rm 2005 rm 2006 rm 2007 rm 2008 rm 2009 rm 2010 rm 2011 rm 2012 rm 2013 rm 2014 rm 2015 rm
520 7 515 7 511 7 514 7 518 7 517 7 429 7 510 7 510 7 523 7 518 7 515 7 502 7 510 7 522 7 519 7 514 7 526 7 511 7 503 7
520 7 512 7 429 7 514 7 513 7 511 7 426 7 509 7 510 7 520 7 514 7 511 7 429 7 - - - - - - - - - - - - - -
507 6 505 6 423 6 504 6 509 6 504 6 423 6 502 6 506 6 514 7 510 7 506 7 423 7 503 7 511 7 509 7 502 7 518 7 502 7 427 7
524 7 512 7 428 7 509 7 518 7 512 7 429 7 510 7 512 7 521 7 515 7 512 7 503 7 504 7 517 7 516 7 503 7 525 7 507 7 430 7
505 9 501 9 423 9 503 9 508 9 429 9 422 9 501 9 505 9 510 9 508 9 504 9 421 9 501 9 507 9 507 9 501 8 513 8 429 8 422 8
507 7 503 7 424 7 503 7 509 7 503 7 422 7 502 7 506 7 511 7 509 7 - - - - - - - - - - - - - - - - - -
508 6 430 6 423 6 503 6 510 6 429 6 424 6 502 6 505 6 504 6 508 6 506 6 426 6 501 6 508 6 503 6 505 6 510 6 427 6 426 6
528 7 519 7 514 7 519 7 517 7 518 7 510 7 522 7 516 7 522 7 518 7 516 7 515 7 510 7 519 7 518 7 517 7 523 7 512 7 506 7
524 6 514 6 514 6 519 6 522 6 516 6 508 6 521 6 514 6 521 6 517 6 516 6 516 6 510 6 518 6 - - - - - - - - - -
513 9 502 9 429 9 508 9 515 9 509 9 423 9 502 9 504 9 510 9 512 9 507 9 425 9 503 9 514 9 506 9 509 9 516 9 429 9 428 9
511 7 505 7 504 7 502 7 508 7 509 7 428 7 510 7 511 7 516 7 511 7 508 7 504 7 505 7 - - - - - - - - - - - -
505 9 430 9 422 9 428 9 505 9 429 9 418 9 429 9 429 9 503 9 507 9 501 9 - - - - - - - - - - - - - - - -
504 9 427 9 422 9 427 9 503 9 428 9 418 9 428 9 426 9 501 9 507 9 430 9 422 9 425 9 505 9 502 9 502 9 508 9 428 9 421 9
519 8 509 8 428 8 509 8 512 8 508 8 425 8 504 8 507 8 514 8 515 8 - - - - - - - - - - - - - - - - - -
527 7 507 7 429 7 512 7 521 7 513 7 428 7 508 7 511 7 521 7 516 7 515 7 - - - - - - - - - - - - - - - -
513 7 502 7 426 7 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
427 9 424 8 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
430 9 423 9 416 9 426 9 429 9 423 9 414 9 420 9 418 9 429 9 501 9 425 9 417 9 418 8 428 8 425 8 429 8 429 8 422 8 414 8
428 9 422 9 414 9 422 9 425 9 419 9 413 9 422 9 416 9 427 9 429 9 426 9 - - - - - - - - - - - - - - - -
425 9 417 9 413 9 417 9 420 9 412 9 407 9 416 9 412 9 424 9 421 9 418 8 410 8 414 8 424 8 423 8 424 8 423 8 420 8 411 8
428 8 423 8 412 9 420 9 422 9 415 9 411 9 416 9 413 9 423 9 424 9 420 9 412 9 413 9 425 9 420 9 424 9 423 9 413 9 409 9
425 8 422 8 414 8 417 8 423 8 415 8 408 8 417 8 410 8 418 8 423 8 421 8 - - - - - - - - - - - - - - - -
423 9 413 9 410 9 413 9 418 9 411 9 404 9 412 9 409 9 419 9 416 9 412 9 409 9 411 9 - - - - - - - - - - - -
424 8 413 8 411 8 414 8 419 8 412 8 403 8 414 8 410 8 419 8 418 8 413 8 412 8 411 8 419 8 418 8 423 8 415 8 414 8 410 8
417 8 408 8 408 8 408 8 413 8 410 8 329 8 409 8 407 8 414 8 413 8 406 8 405 8 407 8 413 8 412 8 418 8 409 8 407 8 403 8
415 9 408 9 407 9 405 9 413 9 408 9 329 9 408 9 403 9 411 9 412 9 402 9 406 9 406 9 409 9 412 9 416 9 405 9 408 9 402 9
424 9 410 9 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
408 8 401 8 407 8 402 8 408 8 405 8 325 8 408 8 401 8 410 8 403 8 329 8 330 8 - - - - - - - - - - - - - -
417 9 407 9 406 9 408 9 413 9 407 9 329 9 408 9 401 9 410 9 412 9 408 8 406 8 406 8 409 8 - - - - - - - - - -
419 9 411 9 408 9 411 9 413 9 410 9 402 9 410 9 405 9 416 9 412 9 409 9 - - - - - - - - - - - - - - - -
416 8 407 8 406 8 406 8 412 8 408 8 330 8 406 8 402 8 414 8 411 8 406 8 405 8 407 8 411 8 414 8 416 8 407 9 407 9 402 9
411 9 402 9 331 9 401 9 407 8 402 8 326 8 403 8 328 8 407 8 406 8 329 8 402 8 403 8 401 8 407 8 410 8 330 8 401 8 331 8
410 8 401 8 330 8 401 8 410 8 405 8 326 8 404 8 329 8 408 8 407 8 330 8 402 8 330 8 402 8 408 8 412 8 329 8 402 8 401 8
423 8 411 8 410 8 410 8 418 8 410 8 402 8 415 8 406 8 414 8 415 8 407 8 410 8 408 8 409 8 415 8 418 8 406 8 411 8 404 8
415 8 406 8 404 8 405 8 410 8 407 8 330 8 407 8 330 8 410 8 412 8 402 8 - - - - - - - - - - - - - - - -
406 8 330 8 330 8 326 8 405 8 328 8 318 8 331 8 327 8 406 8 329 8 326 8 328 8 326 8 402 8 406 8 408 8 321 8 329 8 330 8
407 8 330 8 329 8 326 8 408 8 402 8 326 8 402 8 329 8 407 8 405 8 329 8 402 8 326 8 402 8 407 8 410 8 328 8 331 8 331 8
