2016 rm 2017 rm 2018 rm 平年値 rm 最早値 rm 最早年 最晩値 rm 最晩年
513 7 509 7 512 7 514 6 429 6 2002 526 6 2013
 - - - - - - - - 426 6 2002 522 6 1984
503 7 503 7 430 7 505 6 423 6 2008 518 6 2013
508 7 505 7 502 7 511 6 428 6 1998 525 6 2013
425 8 428 8 426 8 503 8 421 8 2008 514 8 1980
 - - - - - - - - 422 6 2002 517 6 1984
430 6 501 6 427 6 504 6 423 6 1998 519 6 1984
510 7 514 7 512 7 517 6 506 6 2015 530 6 1984
 - - - - - - - - 508 6 2002 530 6 1984
425 9 502 9 429 9 506 8 423 8 2002 525 8 1984
 - - - - - - - - 428 6 2002 525 6 1984
 - - - - - - - - 418 8 2002 519 8 1984
424 9 427 9 425 9 430 8 418 8 2002 523 8 1984
 - - - - - - - - 425 8 2002 519 8 1996
 - - - - - - - - 428 6 2002 527 6 1996
 - - - - - - - - 426 6 1998 528 6 1984
 - - - - - - - - 413 8 1990 506 8 1984
417 8 417 8 419 8 424 8 414 8 2015 511 8 1984
 - - - - - - - - 412 8 1990 518 8 1984
414 8 416 8 417 8 418 8 407 8 2002 430 8 1984
411 9 417 9 417 9 421 8 409 8 2015 506 8 1984
 - - - - - - - - 408 8 2002 507 8 1984
 - - - - - - - - 404 8 2002 427 8 1984
406 8 414 8 404 8 415 8 403 8 2002 429 8 1984
401 8 407 8 330 8 411 8 329 8 2002 428 8 1984
330 9 408 9 329 9 409 8 329 8 2018 425 8 1984
 - - - - - - - - 406 8 1954 428 8 1984
 - - - - - - - - 325 8 2002 425 8 1984
 - - - - - - - - 329 8 2002 424 8 1984
 - - - - - - - - 402 8 2002 427 8 1984
403 9 408 9 403 9 409 8 330 8 2002 426 8 1984
330 8 404 8 329 8 404 8 326 8 2002 417 8 1984
329 8 405 8 327 8 405 8 326 8 2002 420 8 1984
403 8 414 8 402 8 413 8 402 8 2018 426 8 1984
 - - - - - - - - 330 8 2004 425 8 1984
328 8 403 8 326 8 401 8 318 8 2002 418 8 1984
327 8 405 8 329 8 403 8 326 8 2009 417 8 1984
 - - - - - - - - 405 8 2002 428 8 1984
 - - - - - - - - 330 8 2002 425 8 1965
323 8 402 8 325 8 331 8 320 8 2002 415 8 1984
323 9 328 9 322 9 329 8 317 8 2002 414 8 1984
328 9 403 9 325 9 402 8 320 8 2002 420 8 1984
 - - - - - - - - 324 8 2002 417 8 1984
320 9 328 9 319 9 326 8 316 8 1989 412 8 1984
319 8 328 8 319 8 326 8 317 8 1990 411 8 1984
 - - - - - - - - 327 8 2002 419 8 1984
323 8 330 8 323 8 327 8 317 8 2002 412 8 1984
401 9 401 9 320 9 331 8 319 8 2002 416 8 1984
328 9 403 9 326 9 330 8 321 8 2002 412 8 1984
 - - - - - - - - 317 8 1990 407 8 1965
327 8 402 8 318 8 325 8 315 8 2002 406 8 1984
