,l_code,pred_std
3349,401,4.341430360296301
3402,409,4.39824596772311
4687,918,5.091259257243086
4688,918,6.688372384144381
4689,918,4.398499019754286
4690,918,5.479435157662407
4710,927,6.289014083329188
4736,936,8.3198933610792
4738,936,9.981030034186446
4739,936,4.870075532458012
4771,575,5.011737863526643
4777,584,5.132044378535675
4903,918,5.202401898423805
4906,927,5.510690764750959
