1996 rm 1997 rm 1998 rm 1999 rm 2000 rm 2001 rm 2002 rm 2003 rm 2004 rm 2005 rm 2006 rm 2007 rm 2008 rm 2009 rm 2010 rm 2011 rm 2012 rm 2013 rm 2014 rm 2015 rm
525 7 522 7 514 7 518 7 521 7 519 7 502 7 514 7 512 7 528 7 520 7 517 7 505 7 512 7 525 7 525 7 518 7 528 7 513 7 506 7
522 7 514 7 503 7 519 7 517 7 514 7 502 7 513 7 513 7 523 7 516 7 514 7 501 7 - - - - - - - - - - - - - -
513 6 507 6 425 6 508 6 511 6 507 6 425 6 504 6 509 6 517 7 512 7 508 7 426 7 504 7 513 7 512 7 502 7 520 7 504 7 428 7
527 7 515 7 501 7 513 7 521 7 513 7 501 7 512 7 513 7 525 7 517 7 516 7 505 7 507 7 518 7 518 7 505 7 527 7 511 7 503 7
512 9 505 9 426 9 508 9 511 9 505 9 425 9 504 9 509 9 516 9 512 9 508 9 425 9 504 9 514 9 512 9 502 8 517 8 501 8 426 8
509 7 505 7 427 7 507 7 510 7 507 7 425 7 503 7 507 7 513 7 512 7 - - - - - - - - - - - - - - - - - -
513 6 503 6 426 6 507 6 512 6 501 6 427 6 503 6 508 6 510 6 512 6 508 6 430 6 504 6 511 6 509 6 507 6 516 6 429 6 428 6
531 7 522 7 518 7 521 7 521 7 521 7 513 7 526 7 519 7 526 7 521 7 520 7 519 7 514 7 522 7 521 7 520 7 525 7 514 7 508 7
531 6 523 6 517 6 522 6 526 6 524 6 513 6 528 6 519 6 529 6 522 6 523 6 522 6 516 6 524 6 - - - - - - - - - -
520 9 506 9 503 9 513 9 517 9 514 9 428 9 506 9 508 9 520 9 516 9 512 9 502 9 507 9 518 9 513 9 514 9 521 9 505 9 501 9
517 7 509 7 507 7 506 7 511 7 513 7 502 7 513 7 514 7 520 7 515 7 510 7 506 7 508 7 - - - - - - - - - - - -
509 9 503 9 424 9 502 9 507 9 504 9 421 9 503 9 505 9 512 9 510 9 506 9 - - - - - - - - - - - - - - - -
511 9 501 9 424 9 502 9 508 9 503 9 421 9 502 9 430 9 505 9 512 9 504 9 426 9 501 9 510 9 506 9 505 9 512 9 501 9 424 9
523 8 513 8 504 8 514 8 515 8 512 8 428 8 508 8 509 8 520 8 517 8 - - - - - - - - - - - - - - - - - -
529 7 513 7 501 7 518 7 526 7 514 7 430 7 511 7 513 7 526 7 518 7 521 7 - - - - - - - - - - - - - - - -
520 7 504 7 430 7 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
430 9 428 8 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
