1996 rm 1997 rm 1998 rm 1999 rm 2000 rm 2001 rm 2002 rm 2003 rm 2004 rm 2005 rm 2006 rm 2007 rm 2008 rm 2009 rm 2010 rm 2011 rm 2012 rm 2013 rm 2014 rm 2015 rm
503 9 427 9 420 9 430 9 503 9 427 9 416 9 427 9 421 9 502 9 506 9 429 9 421 9 422 8 502 8 428 8 501 8 506 8 425 8 419 8
502 9 428 9 419 9 427 9 430 9 424 9 416 9 425 9 419 9 429 9 502 9 429 9 - - - - - - - - - - - - - - - -
430 9 422 9 416 9 420 9 425 9 418 9 412 9 421 9 416 9 428 9 426 9 423 8 415 8 419 8 428 8 427 8 426 8 429 8 424 8 415 8
501 8 428 8 416 9 423 9 429 9 418 9 416 9 421 9 417 9 427 9 430 9 429 9 417 9 418 9 502 9 429 9 428 9 502 9 421 9 416 9
428 8 426 8 419 8 420 8 427 8 417 8 413 8 419 8 414 8 424 8 428 8 427 8 - - - - - - - - - - - - - - - -
425 9 418 9 413 9 418 9 422 9 415 9 408 9 416 9 412 9 425 9 421 9 419 9 413 9 414 9 - - - - - - - - - - - -
425 8 419 8 413 8 418 8 424 8 415 8 406 8 417 8 413 8 423 8 423 8 419 8 416 8 413 8 425 8 425 8 426 8 419 8 417 8 415 8
424 8 411 8 411 8 413 8 418 8 413 8 403 8 414 8 410 8 417 8 418 8 412 8 411 8 410 8 421 8 415 8 423 8 415 8 411 8 409 8
423 9 410 9 410 9 411 9 417 9 410 9 402 9 412 9 408 9 416 9 415 9 409 9 411 9 409 9 413 9 415 9 420 9 408 9 411 9 406 9
426 9 414 9 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
415 8 408 8 411 8 409 8 412 8 409 8 401 8 413 8 408 8 416 8 411 8 405 8 405 8 - - - - - - - - - - - - - -
422 9 411 9 409 9 412 9 417 9 410 9 402 9 412 9 406 9 415 9 415 9 415 8 411 8 412 8 414 8 - - - - - - - - - -
426 9 417 9 412 9 416 9 421 9 414 9 408 9 417 9 411 9 422 9 417 9 415 9 - - - - - - - - - - - - - - - -
422 8 411 8 410 8 412 8 418 8 411 8 404 8 413 8 409 8 420 8 416 8 413 8 409 8 413 8 417 8 418 8 420 8 412 9 412 9 409 9
417 9 408 9 407 9 407 9 412 8 407 8 401 8 409 8 401 8 411 8 412 8 409 8 406 8 410 8 406 8 412 8 413 8 405 8 407 8 404 8
417 8 407 8 405 8 406 8 414 8 409 8 401 8 411 8 401 8 412 8 412 8 408 8 406 8 408 8 406 8 411 8 416 8 406 8 408 8 404 8
426 8 416 8 413 8 413 8 422 8 413 8 405 8 418 8 411 8 419 8 420 8 414 8 416 8 412 8 413 8 421 8 421 8 415 8 417 8 410 8
419 8 410 8 408 8 411 8 414 8 410 8 403 8 413 8 405 8 414 8 415 8 412 8 - - - - - - - - - - - - - - - -
415 8 404 8 406 8 405 8 412 8 406 8 325 8 407 8 331 8 409 8 404 8 404 8 403 8 406 8 408 8 412 8 412 8 329 8 404 8 402 8
414 8 404 8 404 8 402 8 413 8 408 8 331 8 407 8 401 8 412 8 412 8 409 8 406 8 407 8 406 8 413 8 413 8 402 8 403 8 403 8
430 8 420 8 413 8 417 8 424 8 417 8 409 8 420 8 413 8 419 8 - - - - - - - - - - - - - - - - - - - -
425 8 410 8 411 8 412 8 418 8 410 8 403 8 417 8 407 8 414 8 418 8 409 8 - - - - - - - - - - - - - - - -
410 8 403 8 401 8 404 8 410 8 404 8 328 8 408 8 331 8 408 8 404 8 407 8 331 8 408 8 406 8 411 8 412 8 401 8 403 8 401 8
409 9 404 9 407 9 405 9 408 9 403 9 322 9 404 9 331 9 408 9 403 9 401 9 329 9 405 9 406 9 408 9 410 9 326 9 401 9 330 9
414 9 402 9 408 9 405 9 408 9 405 9 328 9 409 9 331 9 409 9 404 9 402 9 403 9 408 9 407 9 412 9 412 9 401 9 402 9 404 9
414 9 404 9 404 9 401 9 412 9 407 9 331 9 406 9 403 9 410 9 - - - - - - - - - - - - - - - - - - - -
408 9 330 9 331 9 401 9 410 9 406 9 327 9 331 9 401 9 408 9 405 9 402 9 329 9 401 9 331 9 404 9 406 9 329 9 331 9 330 9
406 8 330 8 330 8 401 8 408 8 403 8 328 8 331 8 403 8 408 8 406 8 402 8 329 8 403 8 402 8 406 8 406 8 328 8 331 8 330 8
418 8 406 8 405 8 408 8 416 8 409 8 401 8 412 9 407 9 412 8 412 8 - - - - - - - - - - - - - - - - - -
408 8 330 8 330 8 328 8 407 8 402 8 322 8 401 8 331 8 407 8 329 8 330 8 328 8 331 8 328 8 408 8 407 8 326 8 404 8 331 8
408 9 406 9 409 9 403 9 411 9 402 9 329 9 404 9 406 9 410 9 401 9 405 9 402 9 407 9 408 9 412 9 411 9 328 9 404 9 406 9
411 9 404 9 331 9 403 9 409 9 404 9 327 9 402 9 401 9 408 9 406 9 401 9 401 9 402 9 401 9 405 9 408 9 330 9 401 9 331 9
404 8 401 8 403 8 401 8 409 8 404 8 326 8 329 8 403 8 408 8 - - - - - - - - - - - - - - - - - - - -
402 8 330 8 331 8 401 8 406 8 402 8 322 8 328 8 401 8 407 8 327 8 330 8 327 8 327 8 326 8 404 8 401 8 323 8 331 8 401 8
