番号 地点名
401 稚内　　
406 留萌　　
407 旭川　　
409 網走　　
412 札幌　　
413 岩見沢　
417 帯広　　
418 釧路　　
420 根室　　
423 室蘭　　
426 浦河　　
428 江差　　
430 函館　　
433 倶知安　
435 紋別　　
440 広尾　　
520 新庄　　
575 青森　　
581 八戸　　
582 秋田　　
584 盛岡　　
585 宮古　　
587 酒田　　
588 山形　　
590 仙台　　
595 福島　　
597 白河　　
598 小名浜　
600 輪島　　
602 相川　　
604 新潟　　
605 金沢　　
607 富山　　
610 長野　　
612 高田　　
615 宇都宮　
616 福井　　
617 高山　　
618 松本　　
624 前橋　　
626 熊谷　　
629 水戸　　
631 敦賀　　
632 岐阜　　
636 名古屋　
637 飯田　　
638 甲府　　
648 銚子　　
651 津　　　
654 浜松　　
656 静岡
