1976 rm 1977 rm 1978 rm 1979 rm 1980 rm 1981 rm 1982 rm 1983 rm 1984 rm 1985 rm 1986 rm 1987 rm 1988 rm 1989 rm 1990 rm 1991 rm 1992 rm 1993 rm 1994 rm 1995 rm
523 6 526 6 519 6 526 6 527 6 515 6 518 6 512 6 526 6 517 6 518 7 519 7 520 7 519 7 509 7 518 7 519 7 518 7 519 7 511 7
516 6 516 6 514 6 520 6 522 6 513 6 512 6 503 6 523 6 513 6 511 7 515 7 512 7 507 7 501 7 511 7 516 7 514 7 518 7 509 7
514 6 514 6 511 6 515 6 519 6 507 6 507 6 429 6 517 6 506 6 508 6 510 6 511 6 506 6 503 6 507 6 511 6 511 6 513 6 504 6
516 6 516 6 514 6 526 6 523 6 517 6 513 6 505 6 526 6 512 6 510 7 511 7 515 7 519 7 509 7 510 7 516 7 522 7 517 7 510 7
510 8 512 8 513 8 514 8 518 8 508 8 508 8 501 8 521 8 508 8 509 9 509 9 507 9 504 9 429 9 507 9 510 9 510 9 509 9 503 9
513 8 515 8 514 8 514 8 518 8 509 6 508 6 430 6 520 6 510 6 508 7 509 7 507 7 501 7 430 7 506 7 510 7 509 7 511 7 505 7
511 6 513 6 513 6 517 6 516 6 507 6 509 6 503 6 521 6 506 6 508 6 508 6 507 6 507 6 504 6 506 6 509 6 511 6 508 6 507 6
520 6 531 6 529 6 601 6 528 6 527 6 521 6 516 6 604 6 520 6 519 7 520 7 521 7 520 7 512 7 513 7 520 7 520 7 517 7 518 7
522 6 531 6 528 6 602 6 530 6 601 6 526 6 520 6 604 6 523 6 525 6 520 6 528 6 526 6 517 6 518 6 602 7 - -523 6 522 6
515 8 514 8 516 8 519 8 518 8 510 8 514 8 504 8 530 8 518 8 512 9 513 9 512 9 507 9 502 9 507 9 512 9 509 9 509 9 509 9
517 6 516 6 519 6 521 6 521 6 514 6 516 6 508 6 529 6 515 6 514 7 515 7 514 7 512 7 509 7 510 7 516 7 517 7 517 7 511 7
509 8 514 8 512 8 508 8 516 8 508 8 506 8 427 8 521 8 508 8 508 9 509 9 507 9 427 9 426 9 505 9 502 9 505 9 - -501 9
511 8 512 8 510 8 511 8 515 8 506 8 509 8 430 8 527 8 509 8 508 9 508 9 506 9 501 9 426 9 502 9 502 9 502 9 505 9 503 9
519 6 522 6 517 6 521 6 523 6 513 6 515 6 504 6 524 6 514 6 516 7 517 7 518 7 509 7 508 7 511 7 515 7 515 7 518 7 510 8
513 6 514 6 511 6 524 6 522 6 513 6 516 6 503 6 528 6 512 6 508 7 509 7 515 7 518 7 507 7 509 7 513 7 520 7 512 7 509 7
510 6 513 6 513 6 522 6 520 6 511 6 512 6 503 6 531 6 512 6 511 7 509 7 510 7 511 7 506 7 507 7 515 7 516 7 510 7 508 7
430 8 430 8 502 8 425 8 503 8 502 8 426 8 423 8 511 8 429 8 430 9 427 9 430 9 419 9 417 9 422 9 424 9 426 9 425 9 425 9
504 8 507 8 504 8 506 8 509 8 501 8 504 8 425 8 518 8 503 8 505 9 501 9 501 9 420 9 423 9 430 9 427 9 428 9 427 9 428 9
428 8 502 8 501 8 505 8 505 8 428 8 501 8 423 8 523 8 501 8 502 8 428 8 430 8 419 8 418 8 425 8 424 8 426 8 426 9 425 9
428 8 427 8 430 8 425 8 428 8 427 8 424 8 419 8 505 8 423 8 425 8 421 8 428 8 415 8 413 9 422 9 422 9 424 9 424 9 423 9
501 8 501 8 502 8 428 8 504 8 428 8 426 8 422 8 509 8 429 8 501 8 430 8 430 8 418 8 421 8 424 8 426 8 427 8 425 8 428 8
426 8 428 8 501 8 425 8 430 8 425 8 425 8 421 8 519 8 426 8 428 8 422 8 427 8 417 8 415 8 421 8 424 8 423 8 422 8 425 8
422 8 420 8 425 8 421 8 424 8 422 8 419 8 418 8 501 8 419 8 423 9 418 9 426 9 411 9 411 9 417 9 416 9 420 9 419 9 420 9
423 8 422 8 427 8 420 8 427 8 426 8 421 8 418 8 504 8 422 8 424 8 418 8 427 8 413 8 412 8 417 8 416 8 420 8 418 8 421 8
419 8 419 8 425 8 412 8 420 8 418 8 416 8 418 8 503 8 423 8 424 8 417 8 421 8 406 8 408 8 415 8 415 8 416 8 415 8 417 8
416 8 415 8 422 8 411 8 416 8 415 8 413 8 414 8 428 8 419 8 422 9 410 9 420 9 406 9 407 9 412 9 410 9 416 9 413 9 415 9
422 8 419 8 428 8 418 8 426 8 421 8 419 8 418 8 502 8 421 8 425 9 416 9 425 9 414 9 410 9 416 9 416 9 422 9 418 9 422 9
413 8 414 8 421 8 409 8 420 8 416 8 411 8 416 8 429 8 417 8 421 9 410 9 416 9 405 9 403 9 415 9 408 9 416 9 412 9 412 8
419 8 414 8 419 8 410 8 415 8 414 8 411 8 415 8 428 8 419 8 418 9 411 9 420 9 407 9 407 9 416 9 409 9 416 9 415 9 416 9
420 8 417 8 422 8 413 8 420 8 419 8 416 8 416 8 430 8 419 8 422 8 420 8 427 8 413 8 412 8 420 8 416 8 422 8 419 8 419 8
420 8 416 8 421 8 411 8 421 8 418 8 414 8 416 8 429 8 415 8 421 8 415 8 420 8 407 8 406 8 415 8 409 8 416 8 415 8 415 8
414 8 411 8 415 8 407 8 410 8 413 8 406 8 411 8 420 8 411 8 414 8 406 8 417 8 402 8 402 8 411 8 407 9 416 9 414 9 412 9
412 8 414 8 418 8 407 8 413 8 414 8 406 8 413 8 424 8 414 8 415 8 408 8 418 8 403 8 404 8 415 8 410 8 416 8 415 8 411 8
420 8 418 8 425 8 411 8 422 8 423 8 419 8 416 8 429 8 418 8 423 8 416 8 425 8 411 8 411 8 415 8 416 8 421 8 418 8 421 8
416 8 416 8 419 8 406 8 419 8 420 8 411 8 413 8 430 8 418 8 421 8 410 8 420 8 406 8 406 8 413 8 411 8 417 8 415 8 413 8
411 8 408 8 416 8 404 8 413 8 412 8 407 8 412 8 424 8 411 8 416 8 408 8 415 8 406 8 402 8 409 8 404 8 411 8 408 8 410 8
410 8 413 8 415 8 406 8 411 8 413 8 405 8 410 8 421 8 411 8 414 9 407 9 418 9 401 9 401 9 410 9 405 9 414 9 411 9 409 9
421 8 419 8 428 8 413 8 422 8 427 8 423 8 418 8 502 8 420 8 424 8 419 8 426 8 416 8 414 8 417 8 415 8 426 8 422 8 424 8
417 8 415 8 423 8 410 8 419 8 420 8 416 8 416 8 427 8 419 8 422 8 411 8 422 8 410 8 411 8 414 8 411 8 418 8 418 8 418 8
407 8 404 8 415 8 406 8 412 8 408 8 403 8 410 8 421 8 411 8 414 8 404 8 413 8 402 8 330 8 408 8 402 8 404 8 407 8 411 8
410 8 403 8 411 8 403 8 412 8 407 8 403 8 410 8 420 8 409 8 412 9 404 9 413 8 404 8 401 8 408 8 401 8 404 8 406 9 409 9
413 8 411 8 416 8 406 8 414 8 415 8 408 8 414 8 427 8 414 8 416 9 405 9 414 9 403 9 330 9 410 9 406 9 414 9 407 9 411 9
408 8 411 8 415 8 404 8 411 8 412 8 405 8 410 8 418 8 411 8 414 9 407 9 416 9 401 9 330 9 408 9 403 9 411 9 408 9 408 9
402 8 402 8 411 8 405 8 407 8 407 8 330 8 407 8 416 8 405 8 407 9 406 9 410 9 329 9 327 9 406 9 331 9 405 9 405 9 405 9
401 8 402 8 411 8 407 8 406 8 405 8 331 8 406 8 415 8 406 8 406 8 406 8 410 8 330 8 327 8 405 8 331 8 404 8 405 8 406 8
413 8 411 8 419 8 410 8 413 8 413 8 408 8 412 8 421 8 409 8 416 8 408 8 417 8 405 8 402 8 409 8 403 8 412 8 411 8 412 8
331 8 401 8 410 8 401 8 405 8 406 8 401 8 408 8 416 8 406 8 412 8 405 8 411 8 401 8 326 8 405 8 401 8 402 8 404 8 407 8
407 8 402 8 416 8 406 8 414 8 413 8 403 8 413 8 423 8 409 8 416 9 406 9 411 9 402 9 402 9 410 9 403 9 414 9 411 9 409 9
404 8 404 8 414 8 409 8 407 8 405 8 331 8 408 8 418 8 406 8 408 9 406 9 411 9 401 9 330 9 407 9 402 9 407 9 407 9 410 9
331 8 330 8 410 8 405 8 408 8 405 8 330 8 406 8 412 8 403 8 407 8 405 8 412 8 401 8 401 8 406 8 402 8 406 8 408 8 408 8
330 8 328 8 410 8 405 8 407 8 403 8 329 8 410 8 412 8 404 8 406 8 405 8 412 8 402 8 402 8 410 8 404 8 409 8 409 8 408 8
