2016 rm 2017 rm 2018 rm 平年値 rm 最早値 rm 最早年 最晩値 rm 最晩年
331 9 402 9 324 9 403 8 321 8 2002 417 8 1984
 - - - - - - - - 327 8 2002 417 8 1965
402 8 406 8 327 8 403 8 322 8 2013 415 8 1984
 - - - - - - - - 327 8 2002 416 8 1978
 - - - - - - - - 323 8 2002 413 8 1984
 - - - - - - - - 326 8 1966 413 8 1988
 - - - - - - - - 329 8 1996 501 8 1979
 - - - - - - - - 401 8 2002 420 8 1984
330 8 407 8 329 8 408 8 329 8 2018 418 8 1965
 - - - - - - - - 328 8 2002 417 8 1984
331 9 407 9 328 9 407 8 328 8 2018 417 8 1984
 - - - - - - - - 331 8 2004 418 8 1984
 - - - - - - 408 8 331 8 2004 418 8 1984
 - - - - - - - - 326 8 2002 413 8 1984
402 9 407 9 328 9 405 8 328 8 2018 417 8 1965
405 8 409 8 401 8 409 8 401 8 2018 424 8 1965
403 8 407 8 329 8 405 8 328 8 2013 413 8 1988
402 9 407 9 328 9 404 8 327 8 2002 417 8 1965
401 9 407 9 328 9 406 8 328 8 2018 415 8 1984
403 9 410 9 329 9 405 8 328 8 1990 414 8 1984
401 9 406 9 326 9 405 8 326 8 2018 416 8 1984
 - - - - - - - - 327 8 1990 415 8 1984
331 9 407 9 327 9 404 8 326 8 2013 412 8 1988
 - - - - - - - - 326 8 1977 414 8 1993
402 8 408 9 329 9 405 8 326 8 2002 417 8 1970
 - - - - - - - - 324 8 2002 413 8 1988
330 8 405 8 327 8 401 8 322 8 2013 410 8 1984
331 8 408 8 327 8 403 8 325 8 2013 410 8 1988
408 8 413 8 330 8 403 8 325 8 2013 413 8 2017
330 8 407 8 326 8 403 8 323 8 2013 410 8 1995
402 9 408 9 326 9 401 8 322 8 2013 410 8 1965
 - - - - - - - - 327 8 1966 410 8 1988
406 8 415 8 329 8 404 8 326 8 2013 415 8 2017
405 9 409 9 326 9 402 8 322 8 2013 413 8 1993
 - - - - - - - - 410 8 1991 410 8 1991
 - - - - - - - - 320 8 1973 427 8 1979
 - - - - - - - - 326 8 1977 414 8 1965
403 9 408 9 327 9 404 8 326 8 2002 415 8 1963
404 9 408 9 329 9 405 8 323 8 2002 415 8 1984
 - - - - - - - - 323 8 2002 411 8 1970
402 9 406 9 319 9 330 8 319 8 2018 409 8 1978
408 8 410 8 328 8 405 8 327 8 2002 413 8 1988
202 6 213 6 205 6 130 6 113 6 1989 213 6 2017
 - - - - - - - - 131 6 2006 303 6 1999
 - - - - - - - - 121 6 1982 303 6 1999
302 7 219 6 207 6 205 6 108 6 1989 302 6 2016
225 7 227 7 208 7 209 6 123 6 2000 302 6 1991
 - - - - - - - - 115 6 1989 220 6 1963
212 7 208 7 130 7 204 6 123 6 2013 219 6 1980
 - - - - - - - - 118 6 1989 212 6 1998
301 7 214 7 129 7 202 6 121 6 2013 301 6 2016
